time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0.024,0.879771,0.0145749,-0.0951254,-1.87252,0.00111804,1.887,0.783955,-0.000332024,0.00126676,-0.001317,0.00071273,-0.000236894,-0.000658886,-0.000466095,0,0,0,0,0,0,0,1,0.000353747,0.000207695,0,0.000353696,-1,0.000247204,0,0.000207782,-0.00024713,-1,0,0.400077,0.399927,0.499757,1
0.025,0.879774,0.0145721,-0.0951254,-1.87252,0.00111819,1.88701,0.783967,0.000706671,-8.35143e-05,-0.000878001,0.00151463,-0.000463105,0.000679412,0.0038261,0,0,0,0,0,0,0,1,0.000344345,0.000216493,0,0.000344294,-1,0.000237854,0,0.000216575,-0.000237779,-1,0,0.400076,0.399929,0.499761,1
0.026,0.879771,0.0145774,-0.0951226,-1.87252,0.00111753,1.887,0.78396,-0.000456906,0.00170756,0.000342685,0.000165333,-0.000647821,7.97175e-05,0.000278867,0,0,0,0,0,0,0,1,0.000351453,0.000209329,0,0.000351401,-1,0.000246542,0,0.000209415,-0.000246468,-1,0,0.400077,0.399929,0.499756,1
0.027,0.879771,0.0145696,-0.0951254,-1.87252,0.00111842,1.887,0.783966,-0.000304604,-0.00146008,-0.000699564,0.000172919,0.000890548,5.29714e-05,0.00205087,0,0,0,0,0,0,0,1,0.000342825,0.000213255,0,0.000342774,-1,0.000240441,0,0.000213337,-0.000240368,-1,0,0.400077,0.399927,0.499761,1
0.028,0.879771,0.0145721,-0.0951201,-1.87252,0.00111536,1.887,0.783969,-0.000203069,-0.00013817,0.00129686,0.00109032,-8.44698e-05,3.51841e-05,0.00136725,0,0,0,0,0,0,0,1,0.000345859,0.000213944,0,0.000345807,-1,0.00024409,0,0.000214028,-0.000244016,-1,0,0.400075,0.399929,0.49976,1
0.029,0.879771,0.0145774,-0.0951201,-1.87252,0.00112014,1.887,0.783959,-0.000399593,0.00139249,0.000854788,0.000534549,0.000742352,0.000512823,-0.00225194,0,0,0,0,0,0,0,1,0.000354092,0.000207918,0,0.000354041,-1,0.000244402,0,0.000208004,-0.000244329,-1,0,0.400075,0.39993,0.499757,1
0.03,0.879775,0.0145721,-0.0951254,-1.87252,0.00111797,1.88701,0.78396,0.00149684,-0.000834912,-0.00119338,0.00121142,0.000494901,-3.11658e-05,-0.0015013,0,0,0,0,0,0,0,1,0.000351829,0.00021575,0,0.000351777,-1,0.000238898,0,0.000215834,-0.000238822,-1,0,0.400076,0.399929,0.499761,1
0.031,0.879774,0.0145721,-0.0951226,-1.87251,0.00111623,1.887,0.78397,0.000162677,-0.000556608,0.000132434,0.000822493,-9.15019e-06,-2.08184e-05,0.00235607,0,0,0,0,0,0,0,1,0.000343706,0.000216699,0,0.000343654,-1,0.00024023,0,0.000216782,-0.000240155,-1,0,0.400076,0.39993,0.499761,1
0.032,0.879769,0.0145696,-0.0951254,-1.87252,0.00111918,1.887,0.783954,-0.00165479,-0.00120629,-0.000839731,-0.00120375,-6.10013e-06,-1.39098e-05,-0.0029052,0,0,0,0,0,0,0,1,0.000351728,0.000212533,0,0.000351677,-1,0.000240139,0,0.000212618,-0.000240065,-1,0,0.400078,0.399926,0.499761,1
0.033,0.879771,0.0145721,-0.0951254,-1.87252,0.00111504,1.887,0.78396,-0.000267973,3.10247e-05,-0.000559821,0.000133889,-0.000648327,-9.29638e-06,0.00067415,0,0,0,0,0,0,0,1,0.000348892,0.000215667,0,0.00034884,-1,0.000242912,0,0.000215752,-0.000242836,-1,0,0.400077,0.399927,0.499761,1
