time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0.043,-0.525402,0.0787607,-0.522821,-1.805,0.0406639,1.87299,-1.05876,0.000161644,-0.000183173,0.000371192,8.6741e-06,-2.29223e-05,-0.000888421,-0.000383161,0,0,0,0,0,0,0,1,-0.000232014,-0.00043717,0,-0.000231929,-1,0.000195644,0,-0.000437215,-0.000195543,-1,0,0.300012,-0.499971,0.499788,1
0.044,-0.5254,0.0787555,-0.522821,-1.80499,0.040664,1.87299,-1.05876,0.00103578,-0.00188535,0.000247462,0.000929742,-1.52815e-05,0.000153705,-0.000628435,0,0,0,0,0,0,0,1,-0.000228367,-0.000429463,0,-0.00022828,-1,0.00020378,0,-0.00042951,-0.000203682,-1,0,0.300013,-0.499971,0.499792,1
0.045,-0.525406,0.0787609,-0.522823,-1.80499,0.040666,1.87299,-1.05876,-0.00107272,0.000506336,-0.000670244,0.000616782,0.000667981,0.00010247,-0.000418958,0,0,0,0,0,0,0,1,-0.00023688,-0.000432232,0,-0.000236793,-1,0.000200722,0,-0.000432279,-0.00020062,-1,0,0.30001,-0.499973,0.49979,1
0.046,-0.525404,0.0787637,-0.522821,-1.80499,0.040664,1.87299,-1.05877,-0.000715144,0.00126558,0.000388389,0.00124412,-0.000232848,6.83132e-05,-0.00251726,0,0,0,0,0,0,0,1,-0.00022486,-0.000434912,0,-0.000224772,-1,0.000202397,0,-0.000434958,-0.000202299,-1,0,0.300013,-0.499973,0.49979,1
0.047,-0.525405,0.0787637,-0.522823,-1.80499,0.0406631,1.87299,-1.05876,-0.000476763,0.000843718,0.000258926,-0.000935536,-0.000460408,4.55421e-05,-0.000186205,0,0,0,0,0,0,0,1,-0.000232813,-0.000438378,0,-0.000232726,-1,0.000198436,0,-0.000438424,-0.000198334,-1,0,0.30001,-0.499973,0.499787,1
0.048,-0.525406,0.0787609,-0.522819,-1.80499,0.040665,1.87299,-1.05875,-0.00124586,-0.000365541,0.00110064,0.000303044,0.000337321,-0.000342631,0.0032667,0,0,0,0,0,0,0,1,-0.000240397,-0.000433341,0,-0.00024031,-1,0.000200094,0,-0.000433389,-0.00019999,-1,0,0.300012,-0.499972,0.49979,1
0.049,-0.5254,0.0787637,-0.522816,-1.80499,0.040664,1.87299,-1.05877,0.00186068,0.000684326,0.00156898,0.000201066,-0.000114203,-0.000228421,-0.00345099,0,0,0,0,0,0,0,1,-0.00021376,-0.00043648,0,-0.000213673,-1,0.000198969,0,-0.000436523,-0.000198875,-1,0,0.300017,-0.49997,0.499788,1
0.05,-0.525403,0.0787637,-0.522821,-1.80499,0.040664,1.87299,-1.05876,0.000312436,0.000456217,-0.00155247,0.000133321,-7.61355e-05,0.000593705,-6.27078e-05,0,0,0,0,0,0,0,1,-0.000232444,-0.000435597,0,-0.000232356,-1,0.000201299,0,-0.000435644,-0.000201198,-1,0,0.300012,-0.499972,0.499789,1
0.051,-0.525404,0.0787609,-0.522823,-1.805,0.040664,1.87299,-1.05876,-0.000626928,-0.000623875,-0.00103498,-0.000839681,-5.0757e-05,2.28105e-05,0.00148407,0,0,0,0,0,0,0,1,-0.000237006,-0.000436256,0,-0.000236919,-1,0.000197551,0,-0.000436303,-0.000197447,-1,0,0.300011,-0.499972,0.499788,1
0.052,-0.525401,0.0787637,-0.522821,-1.805,0.040664,1.87299,-1.05875,0.000417266,0.000512103,-0.000689987,-0.000560194,-3.3838e-05,0.0003882,0.00285435,0,0,0,0,0,0,0,1,-0.000237078,-0.000438407,0,-0.000236992,-1,0.000196399,0,-0.000438453,-0.000196295,-1,0,0.300013,-0.499971,0.499786,1
0.053,-0.5254,0.0787609,-0.522823,-1.80499,0.0406631,1.87299,-1.05877,0.000278178,-0.000586618,-0.000459992,0.000554252,-0.000327734,-0.000860178,-0.00260692,0,0,0,0,0,0,0,1,-0.000224303,-0.000437197,0,-0.000224216,-1,0.000197601,0,-0.000437241,-0.000197502,-1,0,0.300012,-0.499971,0.499788,1
0.054,-0.5254,0.0787609,-0.522823,-1.80499,0.040664,1.87299,-1.05876,0.000185452,-0.000391079,-0.000306661,-0.000558747,8.66862e-05,-0.000573452,0.0012799,0,0,0,0,0,0,0,1,-0.000233951,-0.000435779,0,-0.000233865,-1,0.000198379,0,-0.000435826,-0.000198277,-1,0,0.300012,-0.499971,0.499789,1
