time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0.029,0.881108,0.0146089,-0.0964432,-1.87265,0.00108296,1.88694,0.783884,0.000663739,-0.000398941,-0.000424922,-0.000996116,0.000822032,-0.000359619,-0.000328464,0,0,0,0,0,0,0,1,0.00045414,9.08912e-05,0,0.0004541,-1,0.000442429,0,9.10921e-05,-0.000442387,-1,0,0.400054,0.399921,0.499671,1
0.03,0.881108,0.0146121,-0.0964413,-1.87265,0.00108489,1.88694,0.783882,0.000442492,0.00149728,-0.000283316,0.000263942,0.00131649,-0.000239753,0.000154017,0,0,0,0,0,0,0,1,0.000457398,8.92444e-05,0,0.000457359,-1,0.000441877,0,8.94465e-05,-0.000441836,-1,0,0.400054,0.399923,0.49967,1
0.031,0.881108,0.0146083,-0.0964407,-1.87265,0.00108489,1.88695,0.78389,0.000294995,-0.000765053,-0.000188904,-0.000752058,0.000970816,0.000552236,0.00200155,0,0,0,0,0,0,0,1,0.000450176,9.18825e-05,0,0.000450135,-1,0.000438714,0,9.208e-05,-0.000438673,-1,0,0.400053,0.399923,0.49967,1
0.032,0.881108,0.0146087,-0.0964398,-1.87265,0.00108296,1.88695,0.783883,0.000196663,-0.000510035,0.000802064,0.000426648,7.28182e-05,0.000368154,-0.00131049,0,0,0,0,0,0,0,1,0.000458863,9.43159e-05,0,0.000458821,-1,0.000438925,0,9.45172e-05,-0.000438882,-1,0,0.400053,0.399923,0.499672,1
0.033,0.881108,0.0146117,-0.0964439,-1.87265,0.00108489,1.88695,0.783883,0.000131109,0.000587997,-0.00132135,-0.000643588,0.000745206,-0.000466644,-0.00087366,0,0,0,0,0,0,0,1,0.000453943,8.97864e-05,0,0.000453903,-1,0.000441334,0,8.99867e-05,-0.000441293,-1,0,0.400055,0.399922,0.499669,1
0.034,0.881105,0.0146117,-0.0964406,-1.87265,0.00108693,1.88695,0.783877,-0.000840614,0.000391998,4.71119e-05,-0.000429059,0.00121427,-0.000311098,-0.0024474,0,0,0,0,0,0,0,1,0.000459322,8.90412e-05,0,0.000459282,-1,0.000439284,0,8.92429e-05,-0.000439244,-1,0,0.400055,0.399922,0.499669,1
0.035,0.88111,0.014609,-0.0964426,-1.87265,0.00108809,1.88695,0.78388,0.00120283,-0.000666688,3.13996e-05,-0.000286039,0.000160822,-0.0002074,0.000233361,0,0,0,0,0,0,0,1,0.000459841,8.80262e-05,0,0.000459803,-1,0.000438402,0,8.82278e-05,-0.000438361,-1,0,0.400053,0.399923,0.499671,1
0.036,0.88111,0.0146068,-0.0964411,-1.87265,0.00108799,1.88695,0.78389,0.000801886,-0.000444459,2.09268e-05,0.00157255,0.00080749,-0.000138268,0.00280043,0,0,0,0,0,0,0,1,0.000451292,9.47534e-05,0,0.000451251,-1,0.000431504,0,9.49482e-05,-0.000431462,-1,0,0.400053,0.399924,0.499675,1
0.037,0.881105,0.0146111,-0.0964427,-1.87265,0.00108525,1.88695,0.783886,-0.00122865,0.000631714,1.39465e-05,0.000213145,-0.000123262,-9.21797e-05,0.00149396,0,0,0,0,0,0,0,1,0.000448803,9.2686e-05,0,0.000448763,-1,0.000437856,0,9.28825e-05,-0.000437815,-1,0,0.400056,0.399921,0.499671,1
0.038,0.88111,0.014606,-0.0964411,-1.87265,0.00108501,1.88695,0.783887,0.00094414,-0.0014349,9.29415e-06,0.000977315,-6.97399e-05,-6.14538e-05,0.000589073,0,0,0,0,0,0,0,1,0.000454618,9.57685e-05,0,0.000454576,-1,0.000434373,0,9.5966e-05,-0.000434329,-1,0,0.400053,0.399924,0.499675,1
0.039,0.881108,0.0146096,-0.0964406,-1.87265,0.00108493,1.88695,0.783882,-0.000205792,0.000899442,6.19345e-06,-0.000183675,-3.71671e-05,0.000332023,-0.000726262,0,0,0,0,0,0,0,1,0.000458413,9.18503e-05,0,0.000458372,-1,0.000438864,0,9.20515e-05,-0.000438822,-1,0,0.400054,0.399923,0.499672,1
0.04,0.881108,0.0146082,-0.0964352,-1.87265,0.00108399,1.88695,0.783882,-0.000137194,-0.000328392,0.00176736,-0.00105047,-0.000322959,-0.000151644,-0.00123016,0,0,0,0,0,0,0,1,0.000464024,9.25127e-05,0,0.000463984,-1,0.000439178,0,9.27164e-05,-0.000439135,-1,0,0.400051,0.399925,0.499671,1
0.041,0.881108,0.0146087,-0.0964404,-1.87265,0.00108591,1.88695,0.783879,-9.14629e-05,-0.000218928,-0.000584996,0.000227707,0.0004342,-0.000101097,-0.00193908,0,0,0,0,0,0,0,1,0.000460763,9.36116e-05,0,0.000460722,-1,0.000435672,0,9.38123e-05,-0.000435629,-1,0,0.400054,0.399923,0.499672,1
0.042,0.88111,0.0146089,-0.0964404,-1.87265,0.00108489,1.88695,0.783887,0.000774243,-0.000145952,-0.000389999,-0.000776215,-4.56832e-05,0.000305595,0.00131823,0,0,0,0,0,0,0,1,0.000455501,8.94709e-05,0,0.000455461,-1,0.000441197,0,8.96718e-05,-0.000441156,-1,0,0.400052,0.399923,0.49967,1
0.043,0.881108,0.0146062,-0.0964453,-1.87265,0.00108489,1.88694,0.783888,-0.000319056,-0.00102532,-0.00118802,-0.000517477,-2.75046e-05,-0.000169263,0.00125181,0,0,0,0,0,0,0,1,0.000446881,9.08098e-05,0,0.000446841,-1,0.000439591,0,9.10062e-05,-0.000439551,-1,0,0.400055,0.39992,0.499672,1
0.044,0.881108,0.0146041,-0.0964404,-1.87265,0.00108809,1.88694,0.783884,-0.000212704,-0.000683548,0.00106403,-0.00751114,-1.61233e-05,-0.000112842,0.000461547,0,0,0,0,0,0,0,1,0.000455012,8.82925e-05,0,0.000454973,-1,0.000437424,0,8.84915e-05,-0.000437384,-1,0,0.400052,0.399922,0.499672,1
0.045,0.881105,0.0146083,-0.0964413,-1.87265,0.00108824,1.88695,0.783889,-0.00106982,0.000472322,-0.00021867,-0.00293655,-0.000314265,-7.52282e-05,0.00220657,0,0,0,0,0,0,0,1,0.000446657,9.3331e-05,0,0.000446617,-1,0.000432791,0,9.35243e-05,-0.000432749,-1,0,0.400055,0.399922,0.499674,1
0.046,0.88111,0.014606,-0.0964407,-1.87265,0.00108733,1.88694,0.783885,0.00105002,-0.000613139,-0.00014578,-0.00411662,0.000435995,-5.01522e-05,-0.000800818,0,0,0,0,0,0,0,1,0.00045684,9.0168e-05,0,0.000456801,-1,0.000436836,0,9.03675e-05,-0.000436794,-1,0,0.400052,0.399923,0.499672,1
0.047,0.881105,0.0146089,-0.0964405,-1.87265,0.00108445,1.88694,0.783888,-0.00106322,0.000519261,-9.7187e-05,-0.00211316,-0.000352663,-3.34348e-05,0.000212107,0,0,0,0,0,0,0,1,0.00044948,9.17005e-05,0,0.000449439,-1,0.000439569,0,9.1898e-05,-0.000439528,-1,0,0.400055,0.399922,0.499672,1
0.048,0.881105,0.0146068,-0.0964376,-1.87265,0.00108413,1.88695,0.783876,-0.000708815,0.000346174,0.000863228,-0.00163134,-0.000234408,0.000350703,-0.00396151,0,0,0,0,0,0,0,1,0.000464426,9.38245e-05,0,0.000464385,-1,0.000437529,0,9.40276e-05,-0.000437485,-1,0,0.400053,0.399923,0.499673,1
0.049,0.881108,0.0146055,-0.0964404,-1.87265,0.00108403,1.88695,0.783885,0.000455477,-0.000697237,-0.000352534,-0.00218251,-0.000155747,0.000233802,0.000342931,0,0,0,0,0,0,0,1,0.000455422,9.27612e-05,0,0.000455382,-1,0.000438608,0,9.29609e-05,-0.000438565,-1,0,0.400053,0.399922,0.499673,1
0.05,0.881108,0.0146013,-0.0964453,-1.87265,0.00109014,1.88695,0.783884,0.000303651,-0.00130004,-0.00116304,-0.0015802,0.000879907,0.000155868,-0.000144372,0,0,0,0,0,0,0,1,0.000449698,9.13441e-05,0,0.000449658,-1,0.000431353,0,9.15381e-05,-0.000431312,-1,0,0.400054,0.39992,0.499675,1
0.051,0.88111,0.0146054,-0.0964432,-1.87265,0.00108824,1.88695,0.783891,0.00103765,-3.14773e-05,0.000152658,-0.00114737,-0.000396444,0.000442996,0.00217562,0,0,0,0,0,0,0,1,0.000448043,9.07093e-05,0,0.000448004,-1,0.000435048,0,9.09042e-05,-0.000435008,-1,0,0.400053,0.399922,0.499673,1
0.052,0.88111,0.0146087,-0.0964413,-1.87265,0.0010854,1.88695,0.783887,0.000691768,0.000907035,0.000101772,9.2685e-05,-0.000264075,-4.37535e-05,0.000297525,0,0,0,0,0,0,0,1,0.000454282,9.17357e-05,0,0.000454241,-1,0.000438253,0,9.19347e-05,-0.000438211,-1,0,0.400053,0.399924,0.499672,1
