time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0.02,-0.544368,0.455795,0.00375225,-2.09694,-0.00273386,2.55256,-0.5385,0.000717864,-0.00100022,-0.000232284,0.00121992,-0.000365688,9.84837e-05,-8.31937e-05,0,0,0,0,0,0,0,1,-0.000224872,-7.92616e-05,0,-0.000224888,-1,-0.00020253,0,-7.92161e-05,0.000202548,-1,0,0.49991,-0.30004,0.199909,1,0.037839,-34.8358,0.72308,15.1588,0.142528,1.4411,0.0963893,0.00725206,-0.236393,0.167763,0.0804809,-0.291258,-0.225495,0.0846987,0.286364,0.153055,0.921193,-0.409988,0.0360689,0.157644
0.021,-0.544368,0.455797,0.00374947,-2.09694,-0.00273488,2.55256,-0.538509,0.000478576,0.000261249,-0.0010437,-0.000949956,-0.000636362,6.56853e-05,-0.00293657,0,0,0,0,0,0,0,1,-0.000217556,-8.63728e-05,0,-0.000217573,-1,-0.000204722,0,-8.63283e-05,0.00020474,-1,0,0.499907,-0.30004,0.199906,1,0.037839,-34.8755,0.762753,15.2342,0.151683,1.4411,0.176956,0.0140003,-0.237627,0.173221,0.0794153,-0.291587,-0.225788,0.0841398,0.286209,0.165064,0.924615,-0.413973,0.0345668,0.163896
0.022,-0.544371,0.455794,0.00374947,-2.09694,-0.00273386,2.55256,-0.538496,-0.000608969,-0.000753822,-0.000666417,0.000201914,-0.000125271,-0.00032918,0.00262924,0,0,0,0,0,0,0,1,-0.000234716,-8.22738e-05,0,-0.000234733,-1,-0.000202901,0,-8.22262e-05,0.000202921,-1,0,0.499907,-0.300042,0.199908,1,0.0775118,-34.8358,0.762753,15.1985,0.142528,1.45117,0.0551906,0.0228371,-0.241738,0.180602,0.0800787,-0.291968,-0.225863,0.0836537,0.287933,0.180221,0.933415,-0.420239,0.031079,0.172188
0.023,-0.544368,0.455794,0.00375504,-2.09694,-0.00273284,2.55256,-0.538497,0.000522041,-0.000502524,0.0014338,0.00106263,0.000225484,0.000153556,0.00143768,0,0,0,0,0,0,0,1,-0.000226663,-7.72868e-05,0,-0.000226679,-1,-0.000203428,0,-7.72407e-05,0.000203445,-1,0,0.499911,-0.300038,0.199909,1,0.037839,-34.8358,0.683408,15.1588,0.133373,1.4411,0.0652614,0.032011,-0.246578,0.188394,0.0811666,-0.292362,-0.225878,0.0833112,0.290047,0.196157,0.943571,-0.427132,0.0270818,0.180872
0.024,-0.544371,0.455788,0.00375754,-2.09694,-0.00273488,2.55256,-0.538496,-0.000579993,-0.00209824,0.00180761,-0.000219601,-0.00055041,-0.00027061,0.00137483,0,0,0,0,0,0,0,1,-0.000226619,-7.60902e-05,0,-0.000226635,-1,-0.000202653,0,-7.60442e-05,0.000202671,-1,0,0.49991,-0.300038,0.199911,1,0.0775118,-34.7604,0.647702,15.1985,0.151683,1.45117,0.0551906,0.0380007,-0.249328,0.193529,0.081165,-0.292652,-0.226032,0.0830871,0.290059,0.207407,0.949747,-0.431701,0.0243711,0.186568
0.025,-0.544371,0.455793,0.00375225,-2.09694,-0.00273386,2.55256,-0.538491,-0.000386662,0.000364427,-0.000545767,0.00078162,-4.47788e-05,-0.000180397,0.00244106,0,0,0,0,0,0,0,1,-0.000236695,-7.91367e-05,0,-0.000236711,-1,-0.000202446,0,-7.90888e-05,0.000202464,-1,0,0.499909,-0.300041,0.199909,1,0.0775118,-34.8358,0.72308,15.1588,0.142528,1.45117,0.0149074,0.0421318,-0.250747,0.197064,0.0806391,-0.292878,-0.226248,0.0829052,0.289369,0.215532,0.953305,-0.434738,0.0226868,0.190497
0.026,-0.544371,0.455788,0.00375225,-2.09694,-0.00273579,2.55256,-0.538499,-0.000257775,-0.00152028,-0.000354548,0.0013563,-0.000686805,0.000625727,-0.000959172,0,0,0,0,0,0,0,1,-0.00022726,-7.10874e-05,0,-0.000227274,-1,-0.000196347,0,-7.10428e-05,0.000196363,-1,0,0.499911,-0.300042,0.199913,1,0.0775118,-34.7604,0.72308,15.1231,0.159923,1.43103,0.085403,0.0476586,-0.252177,0.201762,0.0798822,-0.293176,-0.226467,0.0826934,0.289061,0.226091,0.956939,-0.438502,0.0210597,0.195746
0.027,-0.544371,0.455781,0.00375225,-2.09694,-0.00273386,2.55255,-0.538492,-0.00017185,-0.00277675,-0.000229393,0.000904198,0.000176871,-0.000328828,0.00161681,0,0,0,0,0,0,0,1,-0.000235581,-6.8843e-05,0,-0.000235594,-1,-0.000196206,0,-6.87968e-05,0.000196223,-1,0,0.499911,-0.300042,0.199917,1,0.0775118,-34.6851,0.72308,15.1231,0.142528,1.45117,0.0249782,0.0542376,-0.250928,0.207336,0.077507,-0.293547,-0.226869,0.0824144,0.289561,0.238078,0.95554,-0.44127,0.0219479,0.201989
0.028,-0.544368,0.45579,0.00375504,-2.09694,-0.00273488,2.55256,-0.538491,0.000813453,0.000840098,-0.00553306,-0.000232419,-0.00022831,0.00052677,0.00146459,0,0,0,0,0,0,0,1,-0.000230566,-7.5026e-05,0,-0.000230581,-1,-0.000200738,0,-7.49797e-05,0.000200755,-1,0,0.499911,-0.300038,0.199911,1,0.037839,-34.8001,0.683408,15.1588,0.151683,1.43103,0.0149074,0.062767,-0.248278,0.214662,0.0745485,-0.294003,-0.227327,0.082062,0.292501,0.252289,0.951371,-0.443794,0.0246882,0.210116
0.029,-0.544368,0.455783,0.00375225,-2.09694,-0.00273386,2.55256,-0.538506,0.000542302,-0.00120317,-0.00513892,-0.000154946,0.000181523,-0.000394802,-0.00389612,0,0,0,0,0,0,0,1,-0.000219263,-7.07421e-05,0,-0.000219277,-1,-0.000197367,0,-7.06988e-05,0.000197382,-1,0,0.499911,-0.30004,0.199915,1,0.037839,-34.7247,0.72308,15.1588,0.142528,1.45117,0.146743,0.0761215,-0.249249,0.226347,0.0736531,-0.294615,-0.227495,0.0816063,0.299131,0.27358,0.953966,-0.4499,0.0251629,0.222899
0.03,-0.544373,0.455788,0.00375754,-2.09694,-0.00273488,2.55256,-0.538501,-0.0014017,0.000961129,-0.00205435,-0.000103297,-0.000222085,0.000109793,-0.00109772,0,0,0,0,0,0,0,1,-0.000223433,-7.27187e-05,0,-0.000223448,-1,-0.000200632,0,-7.26738e-05,0.000200648,-1,0,0.499911,-0.30004,0.199913,1,0.113217,-34.8001,0.647702,15.1588,0.151683,1.4411,0.10646,0.0928968,-0.253902,0.24107,0.0748162,-0.295316,-0.227383,0.0810719,0.308146,0.299982,0.96347,-0.459142,0.0230005,0.238959
0.031,-0.544368,0.455783,0.00375504,-2.09694,-0.00273386,2.55256,-0.538504,0.000828769,-0.00112248,-0.00249852,-6.88649e-05,0.000188016,0.00044619,-0.00147201,0,0,0,0,0,0,0,1,-0.000219005,-6.55171e-05,0,-0.000219018,-1,-0.000195662,0,-6.54743e-05,0.000195677,-1,0,0.499913,-0.300039,0.199917,1,0.037839,-34.7247,0.683408,15.1588,0.142528,1.43103,0.126602,0.10822,-0.260278,0.254448,0.0769827,-0.295914,-0.227142,0.0805768,0.315799,0.324402,0.976199,-0.468787,0.0190106,0.253588
0.032,-0.544371,0.455785,0.00375225,-2.09694,-0.00273193,2.55255,-0.538507,-0.000375507,8.68979e-05,-0.002814,-4.59099e-05,0.000767345,0.000297461,-0.00209597,0,0,0,0,0,0,0,1,-0.000222536,-7.15794e-05,0,-0.000222551,-1,-0.000199127,0,-7.15351e-05,0.000199143,-1,0,0.49991,-0.300042,0.199914,1,0.0775118,-34.7604,0.72308,15.1588,0.125133,1.43103,0.156814,0.119704,-0.266381,0.264394,0.0791484,-0.296334,-0.226915,0.0802131,0.320764,0.343144,0.988368,-0.476876,0.0146507,0.264519
0.033,-0.544368,0.455783,0.00375225,-2.09694,-0.00273284,2.55256,-0.5385,0.000677682,-0.000777285,-0.00204123,-3.06066e-05,0.000204693,-0.000174684,0.000843897,0,0,0,0,0,0,0,1,-0.000225704,-6.92076e-05,0,-0.000225718,-1,-0.000197101,0,-6.91631e-05,0.000197117,-1,0,0.499911,-0.30004,0.199916,1,0.037839,-34.7247,0.72308,15.1588,0.133373,1.4411,0.0963893,0.127772,-0.271438,0.2713,0.0809121,-0.296624,-0.226761,0.0800306,0.323671,0.356794,0.998518,-0.483213,0.0107949,0.272182
0.034,-0.544365,0.455783,0.0037516,-2.09694,-0.00273705,2.55256,-0.538496,0.00128701,-0.000518189,-0.00241276,-0.000948424,-0.000203893,0.000256537,0.00209092,0,0,0,0,0,0,0,1,-0.000224855,-7.14998e-05,0,-0.000224869,-1,-0.000195417,0,-7.14558e-05,0.000195433,-1,0,0.499911,-0.300039,0.199915,1,0.00213343,-34.7247,0.762753,15.1985,0.142528,1.43103,0.0551906,0.131761,-0.275631,0.274691,0.0825367,-0.29677,-0.226654,0.0800537,0.324468,0.364166,1.00694,-0.487522,0.00728357,0.275983
0.035,-0.544371,0.45578,0.00375296,-2.09694,-0.00273492,2.55256,-0.538492,-0.000905234,-0.000345458,-0.000773423,0.000295737,-0.000136882,0.000171025,0.00251476,0,0,0,0,0,0,0,1,-0.000234054,-6.62162e-05,0,-0.000234067,-1,-0.000194316,0,-6.61707e-05,0.000194332,-1,0,0.499911,-0.300042,0.199917,1,0.0775118,-34.7247,0.72308,15.1588,0.142528,1.43103,0.0249782,0.132065,-0.279032,0.274973,0.0840817,-0.296791,-0.226589,0.0802245,0.323508,0.365718,1.01376,-0.489881,0.00410299,0.276313
0.036,-0.544373,0.455777,0.00375527,-2.09694,-0.0027332,2.55256,-0.538488,-0.00143871,-0.00115832,0.0003427,-0.000730862,0.000247115,-0.000258975,0.00316985,0,0,0,0,0,0,0,1,-0.000240396,-6.37326e-05,0,-0.000240408,-1,-0.000195113,0,-6.36857e-05,0.000195128,-1,0,0.499911,-0.300042,0.199919,1,0.113217,-34.6851,0.683408,15.1985,0.133373,1.4411,-0.015305,0.130837,-0.281321,0.273917,0.0851893,-0.296779,-0.226607,0.0804228,0.322013,0.364646,1.01846,-0.490978,0.00181213,0.275183
0.037,-0.544371,0.455777,0.00375511,-2.09694,-0.00273499,2.55256,-0.538492,-0.00012392,-0.000772216,0.000176189,0.000440779,-0.000513961,-0.00017265,0.000622293,0,0,0,0,0,0,0,1,-0.000232063,-6.28538e-05,0,-0.000232075,-1,-0.000193339,0,-6.28089e-05,0.000193354,-1,0,0.499912,-0.300041,0.199919,1,0.0775118,-34.6851,0.683408,15.1588,0.151683,1.4411,0.0249782,0.128012,-0.281765,0.271398,0.0854962,-0.296727,-0.226752,0.0805255,0.320033,0.360509,1.01962,-0.490262,0.00103086,0.272485
0.038,-0.544371,0.455779,0.00374949,-2.09694,-0.0027339,2.55256,-0.538495,-8.26135e-05,0.000413209,0.00435389,0.000293852,-3.95855e-06,0.000257893,-0.00033035,0,0,0,0,0,0,0,1,-0.000235783,-6.55636e-05,0,-0.000235796,-1,-0.000192805,0,-6.55182e-05,0.00019282,-1,0,0.49991,-0.300043,0.199918,1,0.0775118,-34.7247,0.762753,15.1588,0.142528,1.43103,0.0451198,0.120308,-0.281452,0.264578,0.0853617,-0.296471,-0.226978,0.0804537,0.313726,0.348991,1.01941,-0.48705,-0.000324015,0.265048
0.039,-0.544368,0.455779,0.00375504,-2.09693,-0.00273489,2.55256,-0.538498,0.000872944,0.000275473,0.0052402,0.00103112,-0.000342025,0.000171929,-0.00133863,0,0,0,0,0,0,0,1,-0.000223842,-6.07676e-05,0,-0.000223853,-1,-0.000192133,0,-6.07246e-05,0.000192147,-1,0,0.499914,-0.30004,0.199919,1,0.037839,-34.7247,0.683408,15.1231,0.151683,1.43103,0.0753322,0.103907,-0.28197,0.250175,0.0853493,-0.295817,-0.227215,0.0802079,0.298515,0.325349,1.02096,-0.480867,-0.00497863,0.249207
0.04,-0.544368,0.455774,0.00375225,-2.09694,-0.00273488,2.55256,-0.538501,-0.000346057,-0.00157959,0.00292662,0.000687413,-0.000228243,0.000114619,-0.00204487,0,0,0,0,0,0,0,1,-0.000223531,-5.8091e-05,0,-0.000223542,-1,-0.000189079,0,-5.80487e-05,0.000189092,-1,0,0.499913,-0.300042,0.199922,1,0.0775118,-34.6494,0.72308,15.1231,0.151683,1.43103,0.10646,0.0813629,-0.28164,0.230447,0.0846858,-0.294886,-0.227556,0.0798384,0.277436,0.292897,1.02104,-0.471741,-0.0105954,0.227441
0.041,-0.544365,0.455772,0.00375225,-2.09693,-0.00273193,2.55256,-0.5385,0.00153253,-0.00105306,0.00222196,0.000458275,0.000831013,7.6413e-05,-0.00098993,0,0,0,0,0,0,0,1,-0.000223251,-5.4049e-05,0,-0.000223261,-1,-0.000188556,0,-5.40069e-05,0.000188568,-1,0,0.499915,-0.300041,0.199924,1,0.00213343,-34.6494,0.72308,15.1231,0.125133,1.43103,0.0963893,0.0591888,-0.278204,0.211095,0.0825007,-0.293984,-0.228101,0.0794163,0.257751,0.260247,1.01518,-0.460854,-0.0131444,0.206046
0.042,-0.544365,0.455773,0.00375225,-2.09693,-0.00273284,2.55255,-0.538504,0.00102169,-0.000702039,0.00168447,0.000305517,0.000248706,-0.000322051,-0.00177869,0,0,0,0,0,0,0,1,-0.000219611,-5.87671e-05,0,-0.000219623,-1,-0.000190791,0,-5.87252e-05,0.000190804,-1,0,0.499915,-0.300041,0.199923,1,0.00213343,-34.6494,0.72308,15.1231,0.133373,1.4411,0.126602,0.0398135,-0.273163,0.194327,0.0796993,-0.293216,-0.22872,0.0790198,0.24164,0.231049,1.00617,-0.449971,-0.0133214,0.187401
