time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0.023,-0.552183,0.455751,0.0115522,-2.09708,-0.00904191,2.55251,-0.533609,-0.000919675,0.00120103,-0.000765931,0.00177229,0.000443649,7.85917e-05,-0.00292853,0,0,0,0,0,0,0,1,-0.000681923,-0.000204698,0,-0.000681962,-1,-0.000194006,0,-0.000204566,0.000194146,-1,0,0.499903,-0.299953,0.199893,1,-0.303348,-34.7604,0.953183,15.4207,0.151683,1.50061,-0.61406,-0.323407,-0.24461,0.331003,0.394696,-0.285126,-0.166742,-0.630504,0.313196,-1.91953,0.787842,1.02895,-0.424413,-0.135671
0.024,-0.552178,0.455748,0.0115562,-2.09709,-0.00903969,2.55251,-0.533604,0.000314903,-3.45283e-05,0.00134542,-0.000584435,0.000295766,5.23945e-05,-0.000627705,0,0,0,0,0,0,0,1,-0.000679776,-0.000205131,0,-0.000679816,-1,-0.000197707,0,-0.000204997,0.000197846,-1,0,0.499904,-0.299948,0.199893,1,-0.34302,-34.7247,0.873837,15.496,0.151683,1.50061,-0.654343,-0.324301,-0.239924,0.330331,0.390883,-0.285003,-0.167265,-0.630349,0.309529,-1.91872,0.779605,1.03109,-0.421607,-0.136483
0.025,-0.552177,0.455752,0.011555,-2.09709,-0.00903895,2.55251,-0.533615,0.000209935,0.000812199,-3.10738e-05,-0.000391667,0.000197177,-0.000677147,-0.0043078,0,0,0,0,0,0,0,1,-0.000669467,-0.000210836,0,-0.000669509,-1,-0.000201045,0,-0.000210702,0.000201186,-1,0,0.499904,-0.299948,0.19989,1,-0.34302,-34.7604,0.91351,15.496,0.151683,1.51983,-0.55272,-0.326078,-0.238445,0.328959,0.388856,-0.284811,-0.167571,-0.63025,0.304606,-1.919,0.777449,1.03196,-0.421984,-0.138136
0.026,-0.552177,0.455748,0.0115555,-2.09708,-0.0090419,2.55251,-0.533606,0.000139957,-0.000293752,-2.07159e-05,0.000572573,0.000131452,-0.000112347,5.18646e-05,0,0,0,0,0,0,0,1,-0.00067537,-0.000205136,0,-0.000675411,-1,-0.000195939,0,-0.000205004,0.000196078,-1,0,0.499905,-0.299948,0.199893,1,-0.34302,-34.7247,0.91351,15.4603,0.151683,1.51068,-0.634202,-0.328543,-0.238758,0.327041,0.388099,-0.284579,-0.167722,-0.630168,0.29963,-1.92065,0.778581,1.03236,-0.423921,-0.140451
0.027,-0.552177,0.455752,0.0115508,-2.09709,-0.00904288,2.55251,-0.533605,9.33046e-05,0.000639383,-0.00094183,-0.000454652,8.76344e-05,0.000298094,0.000336979,0,0,0,0,0,0,0,1,-0.000679835,-0.000211218,0,-0.000679876,-1,-0.000196584,0,-0.000211084,0.000196728,-1,0,0.499903,-0.29995,0.19989,1,-0.34302,-34.7604,0.953183,15.496,0.151683,1.50061,-0.644272,-0.329785,-0.239355,0.326198,0.387533,-0.28443,-0.167831,-0.630053,0.295824,-1.9205,0.780182,1.03207,-0.425744,-0.141571
0.028,-0.552182,0.455748,0.0115501,-2.09709,-0.00904219,2.55251,-0.533606,-0.00170103,-0.000408962,-0.000627887,-0.000303964,0.000397507,-0.000174263,-0.000201282,0,0,0,0,0,0,0,1,-0.000685138,-0.000208655,0,-0.000685178,-1,-0.000195098,0,-0.000208522,0.000195241,-1,0,0.499901,-0.299953,0.199892,1,-0.267642,-34.7247,0.953183,15.496,0.142528,1.51068,-0.634202,-0.328151,-0.240213,0.327827,0.387258,-0.284431,-0.167885,-0.629913,0.294945,-1.91642,0.782187,1.03052,-0.426931,-0.139922
0.029,-0.55218,0.455748,0.0115527,-2.09709,-0.00904332,2.55251,-0.533605,-0.000298805,-0.000272642,0.000509429,-0.000203289,-7.40794e-05,-0.000116175,0.000199098,0,0,0,0,0,0,0,1,-0.000680501,-0.000207933,0,-0.000680541,-1,-0.000195245,0,-0.0002078,0.000195387,-1,0,0.499903,-0.29995,0.199893,1,-0.303348,-34.7247,0.91351,15.496,0.151683,1.51068,-0.644272,-0.324035,-0.240623,0.331549,0.387019,-0.284569,-0.167926,-0.629787,0.297192,-1.90937,0.783203,1.02838,-0.426785,-0.135905
0.03,-0.552179,0.455755,0.011552,-2.09708,-0.00904234,2.55251,-0.533612,0.000728816,0.00241669,-0.000588401,0.000699207,0.000289698,0.000295542,-0.00216891,0,0,0,0,0,0,0,1,-0.000674524,-0.000211201,0,-0.000674566,-1,-0.000197576,0,-0.000211068,0.000197719,-1,0,0.499903,-0.299951,0.199889,1,-0.34302,-34.8358,0.953183,15.4603,0.142528,1.50061,-0.582932,-0.320961,-0.241843,0.33439,0.387103,-0.284686,-0.16792,-0.629688,0.297982,-1.90354,0.78579,1.02613,-0.427768,-0.132881
0.031,-0.552181,0.455747,0.0115561,-2.09708,-0.00904337,2.55251,-0.533618,-0.000442142,-0.000987326,0.00146377,-0.00356618,-0.000145952,0.000197028,-0.00333324,0,0,0,0,0,0,0,1,-0.000665751,-0.000199316,0,-0.000665789,-1,-0.000191791,0,-0.000199189,0.000191924,-1,0,0.499906,-0.299951,0.199896,1,-0.303348,-34.7247,0.873837,15.385,0.151683,1.50061,-0.532578,-0.320737,-0.245925,0.334846,0.388892,-0.284661,-0.167711,-0.629597,0.296236,-1.90177,0.793759,1.0236,-0.431941,-0.132564
0.032,-0.552185,0.455747,0.0115556,-2.09709,-0.0090453,2.55251,-0.533605,-0.00112998,-0.000658217,0.000975848,-0.00545912,-0.000741561,0.000131352,0.00301689,0,0,0,0,0,0,0,1,-0.000681255,-0.000206642,0,-0.000681295,-1,-0.000194687,0,-0.000206509,0.000194828,-1,0,0.499902,-0.299952,0.199893,1,-0.267642,-34.7247,0.873837,15.496,0.169078,1.50061,-0.674485,-0.32229,-0.251651,0.333733,0.393324,-0.284496,-0.167226,-0.629442,0.298195,-1.90565,0.804145,1.02194,-0.436207,-0.133996
